tg,fa
Фурудгоҳи обе бдул ҳорбр,فرودگاه آبی بدول هاربر
Фурудгоҳи обе бе‌сит,فرودگاه آبی بی‌ست
Фурудгоҳи обе бийг бе,فرودگاه آبی بیگ بی
Фурудгоҳи обе бикр лик,فرودگاه آبی بیکر لیک
Фурудгоҳи обе блоинд чнл,فرودگاه آبی بلایند چنل
Фурудгоҳи обе бндргоҳ внкувр,فرودگاه آبی بندرگاه ونکوور
Фурудгоҳи обе боло гибсун лик,فرودگاه آبی بالا/گیبسون لیک
Фурудгоҳи обе бомфилд,فرودگاه آبی بامفیلد
Фурудгоҳи обе ботчовоно,فرودگاه آبی باتچاوانا
Фурудгоҳи обе бофлув норуз,فرودگاه آبی بافلوو ناروز
Фурудгоҳи обе брож гувин,فرودگاه آبی براژ گووین
Фурудгоҳи обе ва фурудгоҳи вектуреё,فرودگاه آبی و فرودگاه ویکتوریا
Фурудгоҳи обе винстун чирчел,فرودگاه آبی وینستون چرچیل
Фурудгоҳи обе вондрҳуф (маҳал),فرودگاه آبی واندرهوف (محلی)
Фурудгоҳи обе гарӣ бир лик,فرودگاه آبی گریت بیر لیک
Фурудгоҳи обе гилом,فرودگاه آبی گیلام
Фурудгоҳи обе годз лик норуз,فرودگاه آبی گادز لیک ناروز
Фурудгоҳи обе гононук,فرودگاه آبی گانانوک
Фурудгоҳи обе грен лик,فرودگاه آبی گرین لیک
Фурудгоҳи обе гронитҳил лик,فرودگاه آبی گرانیتهیل لیک
Фурудгоҳи обе гугондо гугондо лик,فرودگاه آبی گوگاندا/گوگاندا لیک
Фурудгоҳи обе гудрҳом пнсил лик,فرودگاه آبی گودرهام/پنسیل لیک
Фурудгоҳи обе гулд рюр,فرودگاه آبی گولد ریور
Фурудгоҳи обе дарёча билак,فرودگاه آبی دریاچه بلک
Фурудгоҳи обе дарёча бурдит,فرودگاه آبی دریاچه بوردیت
Фурудгоҳи обе дарёча велеёмз,فرودگاه آبی دریاچه ویلیامز
Фурудгоҳи обе дарёча гонисов,فرودگاه آبی دریاچه گانیساو
Фурудгоҳи обе дарёча косбо,فرودگاه آبی دریاچه کاسبا
Фурудгоҳи обе дарёча олк,فرودگاه آبی دریاچه الک
Фурудгоҳи обе дарёча ормстронг,فرودگاه آبی دریاچه آرمسترانگ
Фурудгоҳи обе дарёча оспут,فرودگاه آبی دریاچه اسپوت
Фурудгоҳи обе дарёча остюорт,فرودگاه آبی دریاچه استیوارت
Фурудгоҳи обе дарёча рнфру-билак дунолд,فرودگاه آبی دریاچه رنفرو-بلک دونالد
Фурудгоҳи обе дарёча рнфру-ҳрдз,فرودگاه آبی دریاچه رنفرو-هردز
Фурудгоҳи обе дарёча фнси,فرودگاه آبی دریاچه فنسی
Фурудгоҳи обе дарёча ҳорст карӣ,فرودگاه آبی دریاچه هارست/کری
Фурудгоҳи обе дарёча ҳчит,فرودگاه آبی دریاچه هچیت
Фурудгоҳи обе дарёча ҷролдтн ҳотчисн,فرودگاه آبی دریاچه جرالدتن/هاتچیسن
Фурудгоҳи обе дер лик,فرودگاه آبی دیر لیک
Фурудгоҳи обе дер лик кимовун,فرودگاه آبی دیر لیک/کیماوون
Фурудгоҳи обе дилоин,فرودگاه آبی دیلاین
Фурудгоҳи обе доктир лик‌ шарқӣ,فرودگاه آبی داکتر لیک شرقی
Фурудгоҳи обе доктир лик‌ ғарбӣ,فرودگاه آبی داکتر لیک غربی
Фурудгоҳи обе дроидн,فرودگاه آبی درایدن
Фурудгоҳи обе дромндуил,فرودگاه آبی درامندویل
Фурудгоҳи обе дурст ковогомо лик,فرودگاه آبی دورست/کاواگاما لیک
Фурудгоҳи обе дусн сетӣ е,فرودگاه آبی دوسن سیتی
Фурудгоҳи обе ийр фолз,فرودگاه آبی ایر فالز
Фурудгоҳи обе камп курдру,فرودگاه آبی کمپ کوردرو
Фурудгоҳи обе кимбриҷ бе,فرودگاه آبی کیمبریج بی
Фурудгоҳи обе кин олмиртс рсурт,فرودگاه آبی کین/المیرتس رسورت
Фурудгоҳи обе кинкулис,فرودگاه آبی کینکولیس
Фурудгоҳи обе киткотло,فرودگاه آبی کیتکاتلا
Фурудгоҳи обе клдунио гронд рюр,فرودگاه آبی کلدونیا/گراند ریور
Фурудгоҳи обе клуво лок дочмп,فرودگاه آبی کلووا/لاک داچمپ
Фурудгоҳи обе кмбл рюр,فرودگاه آبی کمبل ریور
Фурудгоҳи обе кмлупс,فرودگاه آبی کملوپس
Фурудгоҳи обе книсис,فرودگاه آبی کنیسیس
Фурудгоҳи обе кнмур,فرودگاه آبی کنمور
Фурудгоҳи обе кнуро,فرودگاه آبی کنورا
Фурудгоҳи обе кнфдришн лик,فرودگاه آبی کنفدریشن لیک
Фурудгоҳи обе кошбуиҳ опр шибн‌довн,فرودگاه آبی کاشبویه/آپر شیبن‌داون
Фурудгоҳи обе кригнон рюр л'окди,فرودگاه آبی کریگنان/ریور ل اکدی
Фурудгоҳи обе кркрус,فرودگاه آبی کرکروس
Фурудгоҳи обе кскидз,فرودگاه آبی کسکیدز
Фурудгоҳи обе кувл ҳорбр,فرودگاه آبی کوول هاربر
Фурудгоҳи обе кулуил лик,فرودگاه آبی کولویل لیک
Фурудгоҳи обе кумбрмр комонискг лик,فرودگاه آبی کومبرمر/کامانیسکگ لیک
Фурудгоҳи обе кумукс,فرودگاه آبی کوموکس
Фурудгоҳи обе кучрон,فرودگاه آبی کوچران
Фурудгоҳи обе кушинг лик,فرودگاه آبی کوشینگ لیک
Фурудгоҳи обе лик мускуко дудли бе,فرودگاه آبی لیک موسکوکا/دودلی بی
Фурудгоҳи обе лик мускуко мртимрс пуинт,فرودگاه آبی لیک موسکوکا/مرتیمرس پوینت
Фурудгоҳи обе лик мускуко олпрт бе,فرودگاه آبی لیک موسکوکا/الپرت بی
Фурудгоҳи обе лик мускуко сутҳ,فرودگاه آبی لیک موسکوکا سوته
Фурудгоҳи обе лик рсов виндрмр,فرودگاه آبی لیک رساو/ویندرمر
Фурудгоҳи обе лик рсов кмрн бе,فرودگاه آبی لیک رساو/کمرن بی
Фурудгоҳи обе лик рсов ортҳурли бе,فرودگاه آبی لیک رساو/ارتهورلی بی
Фурудгоҳи обе литл корнт,فرودگاه آبی لیتل کارنت
Фурудгоҳи обе лк бртлу,فرودگاه آبی لک برتلو
Фурудгоҳи обе лк буригорд,فرودگاه آبی لک بوریگارد
Фурудгоҳи обе лк гбил,فرودگاه آبی لک گبیل
Фурудгоҳи обе лк гогнн,فرودگاه آبی لک گاگنن
Фурудгоҳи обе лк ис оибостин,فرودگاه آبی لک اس ایباستین
Фурудгоҳи обе лк киёгомок,فرودگاه آبی لک کایاگاماک
Фурудгоҳи обе лк ло крикс,فرودگاه آبی لک لا کریکس
"Фурудгоҳи обе лк син огустин, кибик",فرودگاه آبی لک سن آگوستین، کبک
Фурудгоҳи обе лк спт-оилс,فرودگاه آبی لک سپت-ایلس
Фурудгоҳи обе лк трют,فرودگاه آبی لک تریوت
Фурудгоҳи обе ло гронд-4 лок до ло фолоис,فرودگاه آبی لا گراند-۴/لاک دو لا فالز
Фурудгоҳи обе ло луч,فرودگاه آبی لا لوچ
Фурудгоҳи обе ло тук,فرودگاه آبی لا توک
Фурудгоҳи обе лок-дс-оикрсс,فرودگاه آبی لاک-دس-ایکرسس
Фурудгоҳи обе лок-дс-оилс,فرودگاه آبی لاک-دس-ایلس
Фурудгоҳи обе мебарад рюр,فرودگاه آبی برد ریور
Фурудгоҳи обе мепарӣ лик,فرودگاه آبی پری لیک
Фурудгоҳи обе мепарӣ сонд ҳорбр,فرودگاه آبی پری ساند هاربر
Фурудгоҳи обе мунтрол морино винез,فرودگاه آبی مونترآل/مارینا ونیز
Фурудгоҳи обе ний лик,فرودگاه آبی نی لیک
Фурудгоҳи обе нокино,فرودگاه آبی ناکینا
Фурудгоҳи обе нокино лувр туин лик,فرودگاه آبی ناکینا/لوور توین لیک
Фурудгоҳи обе номушко лоҷ,فرودگاه آبی ناموشکا لاج
Фурудгоҳи обе ноноиму лонг лик,فرودگاه آبی نانایمو/لانگ لیک
Фурудгоҳи обе овун совнд,فرودگاه آبی اوون ساوند
Фурудгоҳи обе огуониш,فرودگاه آبی اگوانیش
Фурудгоҳи обе оигнис,فرودگاه آبی ایگنیس
Фурудгоҳи обе оимс,فرودگاه آبی ایمس
Фурудгоҳи обе оинувик шул лик,فرودگاه آبی اینوویک/شل لیک
Фурудгоҳи обе окловик,فرودگاه آبی اکلاویک
Фурудгоҳи обе олгумо милз,فرودگاه آبی آلگوما میلز
Фурудгоҳи обе олес орм силур сетӣ е,فرودگاه آبی آلیس آرم/سیلور سیتی
Фурудгоҳи обе олифурд бе,فرودگاه آبی الیفورد بی
Фурудгоҳи обе олмо,فرودگاه آبی الما
Фурудгоҳи обе олрт бе,فرودگاه آبی آلرت بی
